Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
255041520131005,10/5/2013,255,415,30,TEAM
257069420131005,10/5/2013,257,694,114,TEAM
301046320131005,10/5/2013,301,463,84,TEAM
327052120131005,10/5/2013,327,521,104,TEAM
334064820131005,10/5/2013,334,648,113,TEAM
365043020131005,10/5/2013,365,430,77,TEAM
366070420131005,10/5/2013,366,704,124,TEAM
367069020131005,10/5/2013,367,690,109,TEAM
392023420131005,10/5/2013,392,234,33,TEAM
400007120131005,10/5/2013,400,71,96,TEAM
416031220131005,10/5/2013,416,312,41,TEAM
428041820131005,10/5/2013,428,418,66,TEAM
433003720131005,10/5/2013,433,37,1,TEAM
434073620131005,10/5/2013,434,736,117,TEAM
457074220131005,10/5/2013,457,742,136,TEAM
472047320131005,10/5/2013,472,473,87,TEAM
490074920131005,10/5/2013,490,749,83,TEAM
497071820131005,10/5/2013,497,718,58,TEAM
503033120131005,10/5/2013,503,331,100,TEAM
518050920131005,10/5/2013,518,509,46,TEAM
519000520131005,10/5/2013,519,5,154,TEAM
529015720131005,10/5/2013,529,157,20,TEAM
539030620131005,10/5/2013,539,306,47,TEAM
574071920131005,10/5/2013,574,719,105,TEAM
587066320131005,10/5/2013,587,663,122,TEAM
630027720131005,10/5/2013,630,277,39,TEAM
646071620131005,10/5/2013,646,716,4,TEAM
670067120131005,10/5/2013,670,671,56,TEAM
698052220131005,10/5/2013,698,522,103,TEAM
700032820131005,10/5/2013,700,328,51,TEAM
706038820131005,10/5/2013,706,388,142,TEAM
721072620131005,10/5/2013,721,726,62,TEAM
725006720131005,10/5/2013,725,67,61,TEAM
754010720131005,10/5/2013,754,107,12,TEAM
756067420131005,10/5/2013,756,674,19,TEAM
768005120131005,10/5/2013,768,51,132,TEAM
774070920131005,10/5/2013,774,709,102,TEAM
29065720131010,10/10/2013,29,657,14,TEAM
587036720131010,10/10/2013,587,367,54,TEAM
626072120131010,10/10/2013,626,721,21,TEAM
690014020131011,10/11/2013,690,140,97,TEAM
5050320131012,10/12/2013,5,503,45,TEAM
8033420131012,10/12/2013,8,334,53,TEAM
9023120131012,10/12/2013,9,231,31,TEAM
51032720131012,10/12/2013,51,327,52,TEAM
66073120131012,10/12/2013,66,731,133,TEAM
67014720131012,10/12/2013,67,147,112,TEAM
71043020131012,10/12/2013,71,430,77,TEAM
86077420131012,10/12/2013,86,774,69,TEAM
107011020131012,10/12/2013,107,110,15,TEAM
129051920131012,10/12/2013,129,519,95,TEAM
157002820131012,10/12/2013,157,28,10,TEAM
196071820131012,10/12/2013,196,718,58,TEAM
204072520131012,10/12/2013,204,725,93,TEAM
235036520131012,10/12/2013,235,365,55,TEAM
255007720131012,10/12/2013,255,77,134,TEAM
277046520131012,10/12/2013,277,465,89,TEAM
295003020131012,10/12/2013,295,30,7,TEAM
306041620131012,10/12/2013,306,416,68,TEAM
311070020131012,10/12/2013,311,700,129,TEAM
328069820131012,10/12/2013,328,698,125,TEAM
331004720131012,10/12/2013,331,47,48,TEAM
388022920131012,10/12/2013,388,229,159,TEAM
404028820131012,10/12/2013,404,288,165,NEUTRAL
414040020131012,10/12/2013,414,400,163,TEAM
418053920131012,10/12/2013,418,539,111,TEAM
419049720131012,10/12/2013,419,497,160,TEAM
434025720131012,10/12/2013,434,257,36,TEAM
463055920131012,10/12/2013,463,559,50,TEAM
473081120131012,10/12/2013,473,811,144,TEAM
498067020131012,10/12/2013,498,670,131,TEAM
509079620131012,10/12/2013,509,796,141,TEAM
522070320131012,10/12/2013,522,703,121,NEUTRAL
528075420131012,10/12/2013,528,754,138,TEAM
529075620131012,10/12/2013,529,756,140,TEAM
545074220131012,10/12/2013,545,742,136,TEAM
574070620131012,10/12/2013,574,706,130,TEAM
630015620131012,10/12/2013,630,156,23,TEAM
648003120131012,10/12/2013,648,31,6,TEAM
651016420131012,10/12/2013,651,164,25,TEAM
674073220131012,10/12/2013,674,732,135,TEAM
688049020131012,10/12/2013,688,490,82,TEAM
697043320131012,10/12/2013,697,433,76,TEAM
716025420131012,10/12/2013,716,254,38,TEAM
719070420131012,10/12/2013,719,704,124,TEAM
726019320131012,10/12/2013,726,193,80,TEAM
746039220131012,10/12/2013,746,392,64,TEAM
769003720131012,10/12/2013,769,37,1,TEAM
671077220131015,10/15/2013,671,772,148,TEAM
415045720131017,10/17/2013,415,457,78,TEAM
128036720131018,10/18/2013,128,367,54,TEAM
5041420131019,10/19/2013,5,414,101,TEAM
31000820131019,10/19/2013,31,8,5,TEAM
37069720131019,10/19/2013,37,697,120,TEAM
47077420131019,10/19/2013,47,774,69,TEAM
48015720131019,10/19/2013,48,157,20,TEAM
77028820131019,10/19/2013,77,288,128,TEAM
110067420131019,10/19/2013,110,674,19,TEAM
156081120131019,10/19/2013,156,811,144,TEAM
164014020131019,10/19/2013,164,140,97,TEAM
193074620131019,10/19/2013,193,746,137,TEAM
234014720131019,10/19/2013,234,147,112,TEAM
235043420131019,10/19/2013,235,434,73,TEAM
254067020131019,10/19/2013,254,670,131,TEAM
257073620131019,10/19/2013,257,736,117,TEAM
306041820131019,10/19/2013,306,418,66,TEAM
311005120131019,10/19/2013,311,51,132,TEAM
312051820131019,10/19/2013,312,518,99,TEAM
331064620131019,10/19/2013,331,646,3,TEAM
365043320131019,10/19/2013,365,433,76,TEAM
392074920131019,10/19/2013,392,749,83,TEAM
400008620131019,10/19/2013,400,86,91,TEAM
428050920131019,10/19/2013,428,509,46,TEAM
465009620131019,10/19/2013,465,96,13,TEAM
466006620131019,10/19/2013,466,66,42,TEAM
497036620131019,10/19/2013,497,366,59,TEAM
503012920131019,10/19/2013,503,129,70,TEAM
519020420131019,10/19/2013,519,204,71,TEAM
522032820131019,10/19/2013,522,328,51,TEAM
523054520131019,10/19/2013,523,545,110,TEAM
528010720131019,10/19/2013,528,107,12,TEAM
559041620131019,10/19/2013,559,416,68,TEAM
574047220131019,10/19/2013,574,472,88,TEAM
648069420131019,10/19/2013,648,694,114,TEAM
657051320131019,10/19/2013,657,513,49,TEAM
663040420131019,10/19/2013,663,404,115,TEAM
664019620131019,10/19/2013,664,196,81,TEAM
688025520131019,10/19/2013,688,255,37,TEAM
698052120131019,10/19/2013,698,521,104,TEAM
700076820131019,10/19/2013,700,768,143,TEAM
725069020131019,10/19/2013,725,690,109,TEAM
726070920131019,10/19/2013,726,709,102,TEAM
731047320131019,10/19/2013,731,473,87,TEAM
732002920131019,10/19/2013,732,29,11,TEAM
754052920131019,10/19/2013,754,529,108,TEAM
756002820131019,10/19/2013,756,28,10,TEAM
796030120131019,10/19/2013,796,301,44,TEAM
671003020131022,10/22/2013,671,30,7,TEAM
334043020131024,10/24/2013,334,430,77,TEAM
388041920131024,10/24/2013,388,419,116,TEAM
66007720131025,10/25/2013,66,77,134,TEAM
2047220131026,10/26/2013,2,472,88,TEAM
9070620131026,10/26/2013,9,706,130,TEAM
29015720131026,10/26/2013,29,157,20,TEAM
47000520131026,10/26/2013,47,5,154,TEAM
51032820131026,10/26/2013,51,328,51,TEAM
67045720131026,10/26/2013,67,457,78,TEAM
86033120131026,10/26/2013,86,331,100,TEAM
96062620131026,10/26/2013,96,626,16,TEAM
107075620131026,10/26/2013,107,756,140,TEAM
110052920131026,10/26/2013,110,529,108,TEAM
147039220131026,10/26/2013,147,392,64,TEAM
156027720131026,10/26/2013,156,277,39,TEAM
164012820131026,10/26/2013,164,128,146,TEAM
193074220131026,10/26/2013,193,742,136,TEAM
204050320131026,10/26/2013,204,503,45,TEAM
229003720131026,10/26/2013,229,37,1,TEAM
244036520131026,10/26/2013,244,365,55,TEAM
254049820131026,10/26/2013,254,498,57,TEAM
255074620131026,10/26/2013,255,746,137,TEAM
288058720131026,10/26/2013,288,587,86,TEAM
295043320131026,10/26/2013,295,433,76,TEAM
366023120131026,10/26/2013,366,231,31,TEAM
367065120131026,10/26/2013,367,651,35,TEAM
414051920131026,10/26/2013,414,519,95,TEAM
416030120131026,10/26/2013,416,301,44,TEAM
463042820131026,10/26/2013,463,428,153,TEAM
465046620131026,10/26/2013,465,466,90,TEAM
490023420131026,10/26/2013,490,234,33,TEAM
497066420131026,10/26/2013,497,664,75,TEAM
509031220131026,10/26/2013,509,312,41,TEAM
513072120131026,10/26/2013,513,721,21,TEAM
521031120131026,10/26/2013,521,311,40,TEAM
539051820131026,10/26/2013,539,518,99,TEAM
545072620131026,10/26/2013,545,726,62,TEAM
646067020131026,10/26/2013,646,670,131,TEAM
648043420131026,10/26/2013,648,434,73,TEAM
674052820131026,10/26/2013,674,528,107,TEAM
690066320131026,10/26/2013,690,663,122,TEAM
694000820131026,10/26/2013,694,8,5,TEAM
700052220131026,10/26/2013,700,522,103,TEAM
703069820131026,10/26/2013,703,698,125,TEAM
704057420131026,10/26/2013,704,574,127,TEAM
709007120131026,10/26/2013,709,71,96,TEAM
716077220131026,10/26/2013,716,772,148,TEAM
719071820131026,10/26/2013,719,718,58,TEAM
732065720131026,10/26/2013,732,657,14,TEAM
736069720131026,10/26/2013,736,697,120,TEAM
749041520131026,10/26/2013,749,415,30,TEAM
768032720131026,10/26/2013,768,327,52,TEAM
774040020131026,10/26/2013,774,400,163,TEAM
811063020131026,10/26/2013,811,630,18,TEAM
140040420131030,10/30/2013,140,404,115,TEAM
28075420131031,10/31/2013,28,754,138,TEAM
498071620131031,10/31/2013,498,716,4,TEAM
574049720131031,10/31/2013,574,497,160,TEAM
651028820131031,10/31/2013,651,288,128,TEAM
657052820131101,11/1/2013,657,528,107,TEAM
7033420131102,11/2/2013,7,334,53,TEAM
29010720131102,11/2/2013,29,107,12,TEAM
30064620131102,11/2/2013,30,646,3,TEAM
37003120131102,11/2/2013,37,31,6,TEAM
66015620131102,11/2/2013,66,156,23,TEAM
147074620131102,11/2/2013,147,746,137,TEAM
157011020131102,11/2/2013,157,110,15,TEAM
196023120131102,11/2/2013,196,231,31,TEAM
204070920131102,11/2/2013,204,709,102,TEAM
257023520131102,11/2/2013,257,235,28,NEUTRAL
277073120131102,11/2/2013,277,731,133,TEAM
301053920131102,11/2/2013,301,539,111,TEAM
311032720131102,11/2/2013,311,327,52,TEAM
328070320131102,11/2/2013,328,703,119,TEAM
331000520131102,11/2/2013,331,5,154,TEAM
415023420131102,11/2/2013,415,234,33,TEAM
418041620131102,11/2/2013,418,416,68,TEAM
419000920131102,11/2/2013,419,9,2,TEAM
428030620131102,11/2/2013,428,306,47,TEAM
430064820131102,11/2/2013,430,648,113,TEAM
457049020131102,11/2/2013,457,490,82,TEAM
466009620131102,11/2/2013,466,96,13,TEAM
472067120131102,11/2/2013,472,671,56,TEAM
473062620131102,11/2/2013,473,626,16,TEAM
503040020131102,11/2/2013,503,400,163,TEAM
509046320131102,11/2/2013,509,463,84,TEAM
518055920131102,11/2/2013,518,559,50,TEAM
521070020131102,11/2/2013,521,700,129,TEAM
545025520131102,11/2/2013,545,255,37,TEAM
630046520131102,11/2/2013,630,465,89,TEAM
664038820131102,11/2/2013,664,388,142,TEAM
670029520131102,11/2/2013,670,295,43,TEAM
690058720131102,11/2/2013,690,587,86,TEAM
694043420131102,11/2/2013,694,434,73,TEAM
704069720131102,11/2/2013,704,697,120,TEAM
706071920131102,11/2/2013,706,719,105,TEAM
718022920131102,11/2/2013,718,229,159,TEAM
725072120131102,11/2/2013,725,721,21,TEAM
726051320131102,11/2/2013,726,513,49,TEAM
742006720131102,11/2/2013,742,67,61,TEAM
749068820131102,11/2/2013,749,688,92,TEAM
768069820131102,11/2/2013,768,698,125,TEAM
772025420131102,11/2/2013,772,254,38,TEAM
796031220131102,11/2/2013,796,312,41,TEAM
71041420131105,11/5/2013,71,414,101,TEAM
519008620131105,11/5/2013,519,86,91,TEAM
